question_uid,link,status,method,type,answer,raw_value
go:118328,https://gateoverflow.in/118328/gate-cse-2017-set-1-question-45,applied,gateoverflow_widget,NAT,88.0,86.5 : 89.5
go:118597,https://gateoverflow.in/118597/gate-cse-2017-set-2-question-45,applied,gateoverflow_widget,NAT,4.75,4.7 : 4.8
go:1694,https://gateoverflow.in/1694/gate-cse-1998-question-3a,applied,gateoverflow_widget,NAT,0.695,0.69:0.70
go:1953,https://gateoverflow.in/1953/gate-cse-2014-set-2-question-1,applied,gateoverflow_widget,NAT,11.899999999999999,11.85 : 11.95
go:1954,https://gateoverflow.in/1954/gate-cse-2014-set-2-question-2,applied,gateoverflow_widget,NAT,3.8499999999999996,3.8 : 3.9
go:1977,https://gateoverflow.in/1977/gate-cse-2014-set-2-question-20,applied,gateoverflow_widget,NAT,99.6,99.55 : 99.65
go:2000,https://gateoverflow.in/2000/gate-cse-2014-set-2-question-40,applied,gateoverflow_widget,NAT,1.73,1.72 : 1.74
go:2014,https://gateoverflow.in/2014/gate-cse-2014-set-2-question-48,applied,gateoverflow_widget,NAT,0.26,0.259 : 0.261
go:204089,https://gateoverflow.in/204089/gate-cse-2018-question-15,applied,gateoverflow_widget,NAT,0.0231,0.0230 : 0.0232
go:204090,https://gateoverflow.in/204090/gate-cse-2018-question-16,applied,gateoverflow_widget,NAT,0.2885,0.288 : 0.289
go:204097,https://gateoverflow.in/204097/gate-cse-2018-question-23,applied,gateoverflow_widget,NAT,59.5,59 : 60
go:204099,https://gateoverflow.in/204099/gate-cse-2018-question-25,applied,gateoverflow_widget,NAT,34.5,34 : 35
go:204119,https://gateoverflow.in/204119/gate-cse-2018-question-44,applied,gateoverflow_widget,NAT,0.605,0.60 : 0.61
go:2077,https://gateoverflow.in/2077/gate-cse-2014-set-3-question-43,applied,gateoverflow_widget,NAT,1.55,1.50 : 1.60
go:2777,https://gateoverflow.in/2777/gate-cse-1996-question-25,applied,gateoverflow_widget,NAT,1.45,1.4 : 1.5
go:302806,https://gateoverflow.in/302806/gate-cse-2019-question-42,applied,gateoverflow_widget,NAT,4.05,4.0 : 4.1
go:333178,https://gateoverflow.in/333178/gate-cse-2020-question-53,applied,gateoverflow_widget,NAT,155.5,155:156
go:333181,https://gateoverflow.in/333181/gate-cse-2020-question-50,applied,gateoverflow_widget,NAT,5.255,5.25:5.26
go:333188,https://gateoverflow.in/333188/gate-cse-2020-question-43,applied,gateoverflow_widget,NAT,2.165,2.15:2.18
go:333214,https://gateoverflow.in/333214/gate-cse-2020-question-17,applied,gateoverflow_widget,NAT,0.1254,0.1249:0.1259
go:357396,https://gateoverflow.in/357396/gate-cse-2021-set-1-question-54,applied,gateoverflow_widget,NAT,0.04,0.04 : 0.04
go:357397,https://gateoverflow.in/357397/gate-cse-2021-set-1-question-55,applied,gateoverflow_widget,NAT,50.0,50 : 50
go:357398,https://gateoverflow.in/357398/gate-cse-2021-set-1-question-53,applied,gateoverflow_widget,NAT,17160.0,17160 : 17160
go:357399,https://gateoverflow.in/357399/gate-cse-2021-set-1-question-52,applied,gateoverflow_widget,NAT,3.0,3 : 3
go:357402,https://gateoverflow.in/357402/gate-cse-2021-set-1-question-49,applied,gateoverflow_widget,NAT,51.0,50 : 52
go:357429,https://gateoverflow.in/357429/gate-cse-2021-set-1-question-22,applied,gateoverflow_widget,NAT,17.0,17 : 17
go:357431,https://gateoverflow.in/357431/gate-cse-2021-set-1-question-20,applied,gateoverflow_widget,NAT,0.25,0.25 : 0.25
go:357433,https://gateoverflow.in/357433/gate-cse-2021-set-1-question-18,applied,gateoverflow_widget,NAT,0.37,0.35 : 0.39
go:357483,https://gateoverflow.in/357483/gate-cse-2021-set-2-question-54,applied,gateoverflow_widget,NAT,135.0,130 : 140
go:357488,https://gateoverflow.in/357488/gate-cse-2021-set-2-question-49,applied,gateoverflow_widget,NAT,60.0,60 : 60
go:357516,https://gateoverflow.in/357516/gate-cse-2021-set-2-question-24,applied,gateoverflow_widget,NAT,4.0,4 : 4
go:357518,https://gateoverflow.in/357518/gate-cse-2021-set-2-question-22,applied,gateoverflow_widget,NAT,15.5,15.00 : 16.00
go:357521,https://gateoverflow.in/357521/gate-cse-2021-set-2-question-19,applied,gateoverflow_widget,NAT,2.0,2 : 2
go:357522,https://gateoverflow.in/357522/gate-cse-2021-set-2-question-18,applied,gateoverflow_widget,NAT,3.0,3 : 3
go:371885,https://gateoverflow.in/371885/gate-cse-2022-question-51,applied,gateoverflow_widget,NAT,1.435,1.42:1.45
go:371887,https://gateoverflow.in/371887/gate-cse-2022-question-49,applied,gateoverflow_widget,NAT,7.08,7.07:7.09
go:39670,https://gateoverflow.in/39670/gate-cse-2016-set-1-question-8,applied,gateoverflow_widget,NAT,3.5,3:4
go:39691,https://gateoverflow.in/39691/gate-cse-2016-set-1-question-32,applied,gateoverflow_widget,NAT,33.5,33.0 : 34.0
go:39709,https://gateoverflow.in/39709/gate-cse-2016-set-1-question-29,applied,gateoverflow_widget,NAT,0.335,0.33 : 0.34
go:39714,https://gateoverflow.in/39714/gate-cse-2016-set-1-question-27,applied,gateoverflow_widget,NAT,198.0,197.9 : 198.1
go:39720,https://gateoverflow.in/39720/gate-cse-2016-set-1-question-54,applied,gateoverflow_widget,NAT,1.145,1.10:1.19
go:460030,https://gateoverflow.in/460030/gate-cse-2025-set-1-question-50,applied,gateoverflow_widget,NAT,7.5,7:8
go:460033,https://gateoverflow.in/460033/gate-cse-2025-set-1-question-47,applied,gateoverflow_widget,NAT,7.0,7:7
go:460034,https://gateoverflow.in/460034/gate-cse-2025-set-1-question-46,applied,gateoverflow_widget,NAT,0.9504999999999999,0.949:0.952
go:460037,https://gateoverflow.in/460037/gate-cse-2025-set-1-question-43,applied,gateoverflow_widget,NAT,11.85,11.83:11.87
go:460059,https://gateoverflow.in/460059/gate-cse-2025-set-1-question-21,applied,gateoverflow_widget,NAT,-2.0,-2.1:-1.9
go:460838,https://gateoverflow.in/460838/gate-cse-2025-set-2-question-55,applied,gateoverflow_widget,NAT,0.75,0.70:0.80
go:460839,https://gateoverflow.in/460839/gate-cse-2025-set-2-question-54,applied,gateoverflow_widget,NAT,0.5,0.5:0.5
go:460841,https://gateoverflow.in/460841/gate-cse-2025-set-2-question-52,applied,gateoverflow_widget,NAT,111.0,111:111
go:460842,https://gateoverflow.in/460842/gate-cse-2025-set-2-question-51,applied,gateoverflow_widget,NAT,3.0,3.0:3.0
go:546,https://gateoverflow.in/546/gate-cse-1992-question-01-ii,applied,gateoverflow_widget,NAT,3.5,3 : 4
go:8251,https://gateoverflow.in/8251/gate-cse-2015-set-2-question-49,applied,gateoverflow_widget,NAT,6.15,6.1 : 6.2
go:460844,https://gateoverflow.in/460844/gate-cse-2025-set-2-question-49,applied_with_type_override,gateoverflow_widget,NAT,6.0,6:6
go:460847,https://gateoverflow.in/460847/gate-cse-2025-set-2-question-46,applied_with_type_override,gateoverflow_widget,NAT,260.7,260.20:261.20
go:132099,https://gateoverflow.in/132099/gate-2005,no_parseable_answer,,,,
go:1376,https://gateoverflow.in/1376/gate-cse-2005-question-53,no_parseable_answer,,,,
go:1498,https://gateoverflow.in/1498/gate-cse-1999-question-2-21,no_parseable_answer,,,,
go:1506,https://gateoverflow.in/1506/gate-cse-1999-question-7,no_parseable_answer,,,,
go:153546,https://gateoverflow.in/153546/general,no_parseable_answer,,,,
go:159741,https://gateoverflow.in/159741/computer-network,no_parseable_answer,,,,
go:165580,https://gateoverflow.in/165580/modified-gate-2003-question,no_parseable_answer,,,,
go:165929,https://gateoverflow.in/165929/doubt-in-pipelining-questions,no_parseable_answer,,,,
go:1735,https://gateoverflow.in/1735/gate-cse-1998-question-21,no_parseable_answer,,,,
go:185173,https://gateoverflow.in/185173/enquiry,no_parseable_answer,,,,
go:189878,https://gateoverflow.in/189878/i-am-getting-low-score-mocks-even-after-preparing-for-months,no_parseable_answer,,,,
go:202867,https://gateoverflow.in/202867/gate-2018,no_parseable_answer,,,,
go:203832,https://gateoverflow.in/203832/gate-cse-1990-question-1-iv-b,no_parseable_answer,,,,
go:208574,https://gateoverflow.in/208574/gate2018-admissions,no_parseable_answer,,,,
go:211439,https://gateoverflow.in/211439/previous-gate-year-score-degrades,no_parseable_answer,,,,
go:214569,https://gateoverflow.in/214569/m-tech-admission,no_parseable_answer,,,,
go:2251,https://gateoverflow.in/2251/gate-cse-1997-question-4-10,no_parseable_answer,,,,
go:2281,https://gateoverflow.in/2281/gate-cse-1997-question-21,no_parseable_answer,,,,
go:2297,https://gateoverflow.in/2297/gate-cse-1993-question-7-9-ugcnet-dec2012-iii-41,no_parseable_answer,,,,
go:2303,https://gateoverflow.in/2303/gate-cse-1993-question-8-5,no_parseable_answer,,,,
go:2305,https://gateoverflow.in/2305/gate-cse-1993-question-8-7,no_parseable_answer,,,,
go:2468,https://gateoverflow.in/2468/gate-cse-1994-question-2-1,no_parseable_answer,,,,
go:2469,https://gateoverflow.in/2469/gate-cse-1994-question-2-2,no_parseable_answer,,,,
go:2470,https://gateoverflow.in/2470/gate-cse-1994-question-2-3,no_parseable_answer,,,,
go:2471,https://gateoverflow.in/2471/gate-cse-1994-question-2-4,no_parseable_answer,,,,
go:2472,https://gateoverflow.in/2472/gate-cse-1994-question-2-5,no_parseable_answer,,,,
go:2473,https://gateoverflow.in/2473/gate-cse-1994-question-2-6,no_parseable_answer,,,,
go:2474,https://gateoverflow.in/2474/gate-cse-1994-question-2-7,no_parseable_answer,,,,
go:2477,https://gateoverflow.in/2477/gate-cse-1994-question-2-10,no_parseable_answer,,,,
go:2482,https://gateoverflow.in/2482/gate-cse-1994-question-3-5,no_parseable_answer,,,,
go:2503,https://gateoverflow.in/2503/gate-cse-1994-question-7,no_parseable_answer,,,,
go:2597,https://gateoverflow.in/2597/gate-cse-1995-question-1-10,no_parseable_answer,,,,
go:357428,https://gateoverflow.in/357428/gate-cse-2021-set-1-question-23,no_parseable_answer,,,,
go:36282,https://gateoverflow.in/36282/deadlock,no_parseable_answer,,,,
go:3804,https://gateoverflow.in/3804/gate-it-2005-question-43,no_parseable_answer,,,,
go:387302,https://gateoverflow.in/387302/gate-2008-question-21,no_parseable_answer,,,,
go:388951,https://gateoverflow.in/388951/gate-cse-2017-set-2-question-33-msq-version,no_parseable_answer,,,,
go:394296,https://gateoverflow.in/394296/lock-compatibility-in-gate-it-2007-question-66,no_parseable_answer,,,,
go:395812,https://gateoverflow.in/395812/gate-cse-2014-set-2-question-10-modified,no_parseable_answer,,,,
go:401,https://gateoverflow.in/401/gate-cse-2008-question-3,no_parseable_answer,,,,
go:402659,https://gateoverflow.in/402659/why-option-b-is-not-correct,no_parseable_answer,,,,
go:43575,https://gateoverflow.in/43575/gate-cse-2003-question-74,no_parseable_answer,,,,
go:441,https://gateoverflow.in/441/gate-cse-2008-question-30,no_parseable_answer,,,,
go:473,https://gateoverflow.in/473/gate-cse-2012-question-38,no_parseable_answer,,,,
go:503,https://gateoverflow.in/503/gate-cse-1991-question-01-v,no_parseable_answer,,,,
go:504,https://gateoverflow.in/504/gate-cse-1991-question-1-vi,no_parseable_answer,,,,
go:508,https://gateoverflow.in/508/gate-cse-1991-question-01-xii,no_parseable_answer,,,,
go:509,https://gateoverflow.in/509/gate-cse-1991-question-01-xiv,no_parseable_answer,,,,
go:510,https://gateoverflow.in/510/gate-cse-1991-question-01-xv,no_parseable_answer,,,,
go:513,https://gateoverflow.in/513/gate-cse-1991-question-02-iii,no_parseable_answer,,,,
go:514,https://gateoverflow.in/514/gate-cse-1991-question-02-iv,no_parseable_answer,,,,
go:525,https://gateoverflow.in/525/gate-cse-1991-question-03-xi,no_parseable_answer,,,,
go:545,https://gateoverflow.in/545/gate-cse-1992-question-01-i,no_parseable_answer,,,,
go:547,https://gateoverflow.in/547/gate-cse-1992-question-01-iii,no_parseable_answer,,,,
go:548,https://gateoverflow.in/548/gate-cse-1992-question-01-iv,no_parseable_answer,,,,
go:550,https://gateoverflow.in/550/gate-cse-1992-question-01-v,no_parseable_answer,,,,
go:552,https://gateoverflow.in/552/gate-cse-1992-question-01-vii,no_parseable_answer,,,,
go:553,https://gateoverflow.in/553/gate-cse-1992-question-01-viii,no_parseable_answer,,,,
go:579,https://gateoverflow.in/579/gate-cse-1992-question-03-ii,no_parseable_answer,,,,
go:611,https://gateoverflow.in/611/gate-cse-1993-question-02-7,no_parseable_answer,,,,
go:655,https://gateoverflow.in/655/gate-cse-2000-question-2-8,no_parseable_answer,,,,
go:80,https://gateoverflow.in/80/gate-cse-2013-question-47,no_parseable_answer,,,,
go:80584,https://gateoverflow.in/80584/gate-cse-1987-question-2e,no_parseable_answer,,,,
go:83829,https://gateoverflow.in/83829/gate-cse-1990-question-1-i,no_parseable_answer,,,,
go:83830,https://gateoverflow.in/83830/gate-cse-1990-question-1-iv-a,no_parseable_answer,,,,
go:83833,https://gateoverflow.in/83833/gate-cse-1990-question-1-v,no_parseable_answer,,,,
go:83850,https://gateoverflow.in/83850/gate-cse-1990-question-1-vi,no_parseable_answer,,,,
go:83851,https://gateoverflow.in/83851/gate-cse-1990-question-1-vii,no_parseable_answer,,,,
go:83854,https://gateoverflow.in/83854/gate-cse-1990-question-1-viii,no_parseable_answer,,,,
go:83859,https://gateoverflow.in/83859/gate-cse-1990-question-2-iii,no_parseable_answer,,,,
go:83977,https://gateoverflow.in/83977/gate-cse-1990-question-2-iv,no_parseable_answer,,,,
go:83980,https://gateoverflow.in/83980/gate-cse-1990-question-2-v,no_parseable_answer,,,,
go:83993,https://gateoverflow.in/83993/gate-cse-1990-question-2-viii,no_parseable_answer,,,,
go:84033,https://gateoverflow.in/84033/gate-cse-1990-question-2-ix,no_parseable_answer,,,,
go:84039,https://gateoverflow.in/84039/gate-cse-1990-question-2-x,no_parseable_answer,,,,
go:87055,https://gateoverflow.in/87055/gate-cse-1990-question-1-viii,no_parseable_answer,,,,
go:87078,https://gateoverflow.in/87078/gate-cse-1989-question-2-ii,no_parseable_answer,,,,
go:87080,https://gateoverflow.in/87080/gate-cse-1989-question-2-iii,no_parseable_answer,,,,
go:87081,https://gateoverflow.in/87081/gate-cse-1989-question-2-iv,no_parseable_answer,,,,
